id,device_family,device_brand,device_model,os_family,os_version,browser_family,browser_version,is_mobile,is_tablet,is_pc,is_bot,is_email,user_agent
1,Lenovo Ideapad K1,Lenovo,Ideapad K1,Android,3.1,Android,3.1,False,True,False,False,False,Mozilla/5.0 (Windows; U; Windows NT 5.0; es-ES; rv:1.8.0.3) Gecko/20060426 Firefox/1.5.0.3
2,MB200,Motorola,MB200,Android,2.3.7,QQ Browser Mobile,26,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/22.0.1207.1 Safari/537.1"
3,Other,,,Windows,XP,Opera,9.50,False,False,True,False,False,"Mozilla/5.0 (X11; CrOS i686 2268.111.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
4,Xbox,Microsoft,Xbox,Windows,8,IE,10.0,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1092.0 Safari/536.6"
5,Spider,Spider,Desktop,Other,,Googlebot,2.1,False,False,False,True,False,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1090.0 Safari/536.6"
6,Glass 1,Google,Glass 1,Android,4.0.4,Android,4.0.4,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/19.77.34.5 Safari/537.1"
7,PlayStation 4,Sony,PlayStation 4,Other,,Other,,False,False,False,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5"
8,Other,,,Windows,7,Chrome,10.0.648,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.36 Safari/536.5"
9,Other,,,Windows,7,Chrome,30.0.1599,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
10,Samsung SM-P605,Samsung,SM-P605,Android,4.3,Chrome Mobile WebView,28.0.1500,True,True,False,False,False,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
11,Other,,,Linux,,Opera,12.11,False,False,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
12,HbbTV,Samsung,SmartTV2013,Samsung,2013.UE40F7000,HbbTV,1.1.1,False,False,False,False,False,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3"
13,Other,,,Other,,UC Browser,7.0.2,False,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3"
14,Other,,,Windows,XP,IE,6.0,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3"
15,Other,,,Windows,8,Chrome,19.0.1061,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3"
16,LG-F200K,LG,F200K,Android,4.0.4,Android,4.0.4,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3"
17,Nokia N97,Nokia,N97-1,Symbian OS,9.4,Nokia Browser,7.1.18124,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.0 Safari/536.3"
18,Other,,,Linux,,Chrome,19.0.1084,False,False,True,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24"
19,Other,,,Windows,XP,Sogou Explorer,1.0,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24"
20,LG-F200L,LG,F200L,Android,4.0.4,Android,4.0.4,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60"
21,Other,,,Windows,XP,Opera,9.50,False,False,True,False,False,Opera/8.0 (Windows NT 5.1; U; en)
22,HP TouchPad,HP,TouchPad,webOS,3.0.0,webOS Browser,3.0.0,False,False,False,False,False,Mozilla/5.0 (Windows NT 5.1; U; en; rv:1.8.1) Gecko/20061208 Firefox/2.0.0 Opera 9.50
23,Other,,,Windows,XP,Opera,8.0,False,False,True,False,False,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en) Opera 9.50
24,Nintendo Wii U,Nintendo,Wii U,Other,,NetFront NX,2.1.0,False,False,False,False,False,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0
25,Other,,,Windows,7,Maxthon,4.4.3,False,False,True,False,False,Mozilla/5.0 (X11; U; Linux x86_64; zh-CN; rv:1.9.2.10) Gecko/20100922 Ubuntu/10.10 (maverick) Firefox/3.6.10
26,LG-F200S,LG,F200S,Android,4.1.2,Android,4.1.2,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"
27,Other,,,Chrome OS,2268.111.0,Chrome,20.0.1132,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
28,Other,,,Windows,8,Chrome,19.0.1062,False,False,True,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
29,Other,,,Windows,XP,Chrome,19.0.1063,False,False,True,False,False,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.133 Safari/534.16"
30,Other,,,Windows,7,IE,11.0,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36"
31,Motorola Xoom,Motorola,Xoom,Android,3.0,Android,3.0,False,True,False,False,False,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
32,Lenovo IdeaTab A2109A,Lenovo,IdeaTab A2109A,Android,4.0.4,Android,4.0.4,False,True,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.11 TaoBrowser/2.0 Safari/536.11"
33,iPod,Apple,iPod,iOS,4.3.3,Mobile Safari,5.0.2,True,False,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.71 Safari/537.1 LBBROWSER"
34,iPhone,Apple,iPhone,iOS,4.3.3,Mobile Safari,5.0.2,True,False,False,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; LBBROWSER)
35,Mac,Apple,Mac,Mac OS X,10.7.2,Safari,5.1.2,False,False,True,False,False,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; QQDownload 732; .NET4.0C; .NET4.0E; LBBROWSER)
36,Other,,,Windows,8,Chrome,19.0.1055,False,False,True,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; QQBrowser/7.0.3698.400)
37,Generic Smartphone,Generic,Smartphone,Windows,CE,IE,4.1,True,False,False,False,False,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; QQDownload 732; .NET4.0C; .NET4.0E)
38,Other,,,Windows,7,Chrome,39.0.2171,False,False,True,False,False,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.84 Safari/535.11 SE 2.X MetaSr 1.0"
39,Samsung SM-V700,Samsung,SM-V700,Android,4.2.2,Android,4.2.2,True,False,False,False,False,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; QQDownload 732; .NET4.0C; .NET4.0E; SE 2.X MetaSr 1.0)
40,Other,,,Windows,7,Opera,26.0.1656,False,False,True,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.3.4000 Chrome/30.0.1599.101 Safari/537.36"
41,Archos GAMEPAD,Archos,GAMEPAD,Android,4.1.1,Chrome,18.0.1025,False,True,False,False,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 UBrowser/4.0.3214.0 Safari/537.36"
42,iPhone,Apple,iPhone,iOS,7.0,Mobile Safari,6.0,True,False,False,False,False,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5"
43,HTC Nexus One,HTC,Nexus One,Android,2.3.7,Android,2.3.7,True,False,False,False,False,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3_3 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5"
44,HTC PG09410,HTC,PG09410,Android,3.1,Android,3.1,False,True,False,False,False,"Mozilla/5.0 (iPad; U; CPU OS 4_2_1 like Mac OS X; zh-cn) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
45,Inettv,Sony,DTV115,Linux,,Opera,12.11,False,False,False,False,False,"Mozilla/5.0 (iPad; U; CPU OS 4_3_3 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5"
46,Tesla Model S,Tesla,Model S,Linux,,QtCarBrowser,1,False,False,True,False,False,"Mozilla/5.0 (Linux; U; Android 2.2.1; zh-cn; HTC_Wildfire_A3333 Build/FRG83D) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
47,Other,,,Windows,7,Chrome,19.0.1063,False,False,True,False,False,"Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
48,Other,,,Windows,7,Chrome,20.0.1092,False,False,True,False,False,"MQQBrowser/26 Mozilla/5.0 (Linux; U; Android 2.3.7; zh-cn; MB200 Build/GRJ22; CyanogenMod-7) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
49,Other,,,Other,,UC Browser,7.0.2,False,False,False,False,False,Opera/9.80 (Android 2.3.4; Linux; Opera Mobi/build-1107180945; U; en-GB) Presto/2.8.149 Version/11.10
50,Sony BDV13,Sony,BDV13,Linux,,Opera,12.11,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 3.0; en-us; Xoom Build/HRI39) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"
51,Other,,,Windows,7,QQ Browser,7.0.3698,False,False,True,False,False,"Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, like Gecko) Version/6.0.0.337 Mobile Safari/534.1+"
52,BlackBerry 9800,BlackBerry,9800,BlackBerry OS,6.0.0,BlackBerry WebKit,6.0.0,True,False,False,False,False,"Mozilla/5.0 (hp-tablet; Linux; hpwOS/3.0.0; U; en-US) AppleWebKit/534.6 (KHTML, like Gecko) wOSBrowser/233.70 Safari/534.6 TouchPad/1.0"
53,Other,,,Other,,Opera,8.50,False,False,False,False,False,"Mozilla/5.0 (SymbianOS/9.4; Series60/5.0 NokiaN97-1/20.0.019; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/525 (KHTML, like Gecko) BrowserNG/7.1.18124"
54,Other,,,Windows,8,Chrome,19.77.34,False,False,True,False,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; HTC; Titan)
55,Other,,,Windows,7,Chrome,20.0.1132,False,False,True,False,False,UCWEB7.0.2.37/28/999
56,SHIELD,Generic_Android,SHIELD,Android,4.3,Chrome Mobile,32.0.1700,True,False,False,False,False,NOKIA5700/ UCWEB7.0.2.37/28/999
57,Samsung SAMSUNG-GT-i9500,Samsung,SAMSUNG-GT-i9500,Tizen,1.0,Tizen Browser,1.0,False,False,False,False,False,Openwave/ UCWEB7.0.2.37/28/999
58,Other,,,Windows,7,UC Browser,4.0.3214,False,False,True,False,False,Mozilla/4.0 (compatible; MSIE 6.0; ) Opera/UCWEB7.0.2.37/28/999
59,Other,,,Windows,2000,Firefox,1.5.0,False,False,True,False,False,"Mozilla/5.0 (Nintendo WiiU) AppleWebKit/534.52 (KHTML, like Gecko) NX/2.1.0.8.21 NintendoBrowser/1.0.0.7494.US"
60,Other,,,Windows,7,Chrome,19.0.1061,False,False,True,False,False,"Mozilla/5.0 (PlayStation 4 1.000) AppleWebKit/536.26 (KHTML, like Gecko)"
61,QMV7A,Generic_Android_Tablet,QMV7A,Android,4.2.2,Chrome,35.0.1916,False,True,False,False,False,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One)
62,Other,,,Windows,Vista,Chrome,19.0.1084,False,False,True,False,False,Mozilla/4.0 (compatible; MSIE 6.0; Nitro) Opera 8.50 [en]
63,Other,,,Windows,7,Chrome,19.0.1061,False,False,True,False,False,"Mozilla/5.0 (Linux; Android 4.1.1; ARCHOS GAMEPAD Build/JRO03H) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Safari/535.19"
64,HTC Titan,HTC,Titan,Windows Phone,7.5,IE Mobile,9.0,True,False,False,False,False,Opera/9.00 (Nintendo Wii; U; ; 1309-9; en)
65,iPad,Apple,iPad,iOS,4.3.3,Mobile Safari,5.0.2,False,True,False,False,False,"Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; ARCHOS GAMEPAD2 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
66,Other,,,Windows,XP,Java,4.2.3,False,False,False,False,False,"Mozilla/5.0 (Linux; Android 4.3; SHIELD Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.99 Mobile Safari/537.36"
67,Other,,,Other,,UC Browser,7.0.2,False,False,False,False,False,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
68,Mac,Apple,Mac,Mac OS X,10.8.0,Chrome,19.0.1063,False,False,True,False,False,Apache-HttpClient/4.1 (java 1.5)
69,Other,,,Linux,,Chrome,23.0.1271,False,False,True,False,False,muCommander v0.8.3 (Java 1.4.2_03-b02; Windows XP 5.1 x86)
70,Other,,,Windows,7,Firefox,34.0,False,False,True,False,False,"Mozilla/5.0 (X11; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) QtCarBrowser Safari/533.3"
71,Archos GAMEPAD2,Archos,GAMEPAD2,Android,4.2.2,Android,4.2.2,False,True,False,False,False,Mozilla/5.0 [en] (PalmOS; U; WebPro/3.5; Palm-Zi72)
72,iPad,Apple,iPad,iOS,4.2.1,Mobile Safari,5.0.2,False,True,False,False,False,Mozilla/4.0 (compatible; MSIE 6.0; Windows CE; IEMobile 7.6) HPiPAQ610/1.0 (PPC; 240x320)
73,Generic Smartphone,Generic,Smartphone,Other,,Other,,True,False,False,False,False,Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; PPC; 240x320; HP iPAQ h5450)
74,Other,,,Other,,Apache-HttpClient,4.1,False,False,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7"
75,Other,,,Linux,,Chrome,19.0.1055,False,False,True,False,False,Mozilla/5.0 (X11; U; AIX 5.3; en-US; rv:1.7.12) Gecko/20051025
76,Lumia 820,Nokia,Lumia 820,Windows Phone,8.0,IE Mobile,10.0,True,False,False,False,False,HbbTV/1.1.1 (;Samsung;SmartTV2013;T-FXPDEUC-1102.2;;) WebKit
77,Other,,,Windows,XP,Sogou Explorer,1.0,False,False,True,False,False,Mozilla/5.0 (Linux mips; U;HbbTV/1.1.1 (+RTSP;DMM;Dreambox;0.1a;1.0;) CE-HTML/1.0; en) AppleWebKit/535.19 no/Volksbox QtWebkit/2.2
78,Other,,,Other,,Other,,False,False,False,False,False,Opera/9.80 (Linux armv7l; InettvBrowser/2.2 (00014A;SonyDTV115;0002;0100) KDL42W650A; CC/GRC) Presto/2.12.362 Version/12.11
79,Other,,,Windows,7,Chrome,22.0.1207,False,False,True,False,False,Opera/9.80 (Linux armv6l; Opera TV Store/5599; (SonyBDP/BDV13)) Presto/2.12.362 Version/12.11
80,Other,,,Windows,7,Chrome,19.0.1062,False,False,True,False,False,Opera/9.80 (Linux armv7l; Opera TV Store/5581) Presto/2.12.362 Version/12.11
81,Other,,,Windows,XP,IE,6.0,False,False,True,False,False,Opera/9.80 (Linux i686; U; fr) Presto/2.10.287 Version/12.00 ; SC/IHD92 STB
82,Other,,,Windows,8,Chrome,20.0.1090,False,False,True,False,False,"Mozilla/5.0 (CrKey armv7l 1.4.15250) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.0 Safari/537.36"
83,HTC Wildfire A3333,HTC,Wildfire A3333,Android,2.2.1,Android,2.2.1,True,False,False,False,False,Mozilla/5.0 (DTV; TSBNetTV/T32013713.0203.7DD; TVwithVideoPlayer; like Gecko) NetFront/4.1 DTVNetBrowser/2.2 (000039;T32013713;0203;7DD) InettvBrowser/2.2 (000039;T32013713;0203;7DD)
84,Other,,,Windows,7,Chrome,21.0.1180,False,False,True,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/546.10 (KHTML, like Gecko) Version/6.0 Mobile/7E18WD Safari/8536.25"
85,Generic Smartphone,Generic,Smartphone,Android,2.3.4,Opera Mobile,11.10,True,True,False,False,False,"Mozilla/5.0 (SAMSUNG; SAMSUNG-GT-i9500/1.0; U; Tizen/1.0 like Android; en-us) AppleWebKit/534.46 (KHTML, like Gecko) SLP Browser/1.0 Mobile"
86,Other,,,Ubuntu,10.10,Firefox,3.6.10,False,False,True,False,False,Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 820)
87,Inettv,Generic_Inettv,T32013713,Other,,NetFront,4.1,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; K1 Build/K1_A301_02_02_110822_SG) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"
88,HP iPAQ 610,HP,iPAQ 610,Windows,CE,IE Mobile,7.6,True,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 4.0.4; el-gr; IdeaTabA2109A Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
89,Other,,,Windows,7,IE,9.0,False,False,True,False,False,"Mozilla/5.0 (Linux; U; Android 4.1.2; en-us; LG-F200S Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
90,HbbTV,DMM,Dreambox,Linux,,HbbTV,1.1.1,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 4.0.4; ko-kr; LG-F200K Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 DaumApps/3.2.4"
91,Other,,,Windows,8,Chrome,19.0.1061,False,False,True,False,False,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; LG-F200L Build/IMM76L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 NAVER(inapp; search; 200; 4.0.1)"
92,Nokia 5700,Nokia,5700,Other,,UC Browser,7.0.2,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 3.2; es-es; HUAWEI MediaPad Build/HuaweiMediaPad) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"
93,Other,,,Chromecast,,Chrome,31.0.1650,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 3.1; el-gr; HTC PG09410 Build/HMJ15) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13"
94,HUAWEI MediaPad,Huawei,MediaPad,Android,3.2,Android,3.2,False,True,False,False,False,"Mozilla/5.0 (Linux; Android 4.2.2; QMV7A Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.122 Safari/537.36"
95,Other,,,Linux,,Opera,12.0,False,False,False,False,False,"Mozilla/5.0 (Linux; Android 4.3; en-gb; SAMSUNG SM-P605 Build/JSS15J) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Safari/537.36"
96,Nintendo Wii,Nintendo,Wii,Other,,Opera,9.0,False,False,False,False,False,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; Glass 1 Build/IMM76L; XE10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
97,Other,,,Windows,7,Safari,5.1.7,False,False,True,False,False,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-ie; SM-V700 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
